,WELL_ID,X_BHP,Y_BHP,h,V
380,110150300,452558,7601028,8,1381401648.0
381,110150500,452842,7601205,9,1832158764.0
382,110150700,450479,7598985,11,2515210175.5
383,110150800,449612,7598197,12,2363950158.0
384,110150900,448873,7597221,8,1381401648.0
385,110151000,448058,7596549,12,2363950158.0
386,110151100,447323,7595714,11,2515210175.5
387,110153500,452697,7601558,8,1381401648.0
388,110153800,450295,7599304,13,1842033225.5
389,110153900,449437,7598455,9,1832158764.0
390,110154000,448638,7597447,10,1868680390.0
391,110154100,447712,7596628,10,1868680390.0
392,110154200,446240,7596810,12,2363950158.0
393,110156500,452352,7601701,14,2620897251.0
394,110156700,450523,7600002,13,1842033225.5
395,110157000,447621,7596980,11,2515210175.5
396,110157100,446645,7595988,9,1832158764.0
397,110159300,455494,7604934,10,1868680390.0
398,110159500,452757,7603048,8,1381401648.0
399,110159600,452499,7602069,9,1832158764.0
400,110159700,451572,7601374,8,1381401648.0
401,110159800,450990,7600738,10,1868680390.0
402,110160000,449239,7599000,11,2515210175.5
403,110160100,448426,7598143,12,2363950158.0
404,110160200,447521,7597312,11,2515210175.5
405,110160300,446542,7596310,9,1832158764.0
406,110162300,454949,7605152,14,2620897251.0
407,110162600,452195,7602172,13,1842033225.5
408,110162800,450395,7600692,11,2515210175.5
409,110162900,449688,7599903,11,2515210175.5
410,110163100,448088,7598315,11,2515210175.5
411,110163200,447232,7597526,8,1381401648.0
412,110163300,446439,7596630,13,1842033225.5
413,110165400,454719,7605348,14,2620897251.0
414,110165600,452256,7603547,10,1868680390.0
415,110165700,451813,7602432,10,1868680390.0
416,110166100,448772,7599461,12,2363950158.0
417,110166200,447899,7598524,13,1842033225.5
418,110166300,447058,7597776,8,1381401648.0
419,110166400,446333,7596950,14,2620897251.0
420,110168500,453919,7604973,11,2515210175.5
421,110169000,448616,7600233,11,2515210175.5
422,110169100,448389,7599906,12,2363950158.0
423,110169200,447837,7598888,14,2620897251.0
424,110169300,446845,7597981,12,2363950158.0
425,110169400,445963,7597010,9,1832158764.0
426,110173900,455995,7608947,10,1868680390.0
427,110174000,456561,7608887,13,1842033225.5
428,110175200,448319,7599850,9,1832158764.0
429,110176500,459667,7611880,10,1868680390.0
430,110176800,456621,7608954,13,1842033225.5
431,110202900,459627,7611575,8,1381401648.0
432,110300800,461735,7603934,14,2620897251.0
433,110300900,461537,7603842,12,2363950158.0
434,110301000,461196,7604973,14,2620897251.0
435,110301100,462262,7604283,14,2620897251.0
436,110301200,461995,7604067,9,1832158764.0
437,110301700,456230,7600978,13,1842033225.5
438,110301800,456306,7601256,10,1868680390.0
439,110302100,458847,7599995,10,1868680390.0
440,110302400,453756,7595245,9,1832158764.0
441,110302600,453548,7594990,9,1832158764.0
442,110303300,449277,7593874,14,2620897251.0
443,110303400,447789,7592413,11,2515210175.5
444,110303500,447652,7592702,8,1381401648.0
445,110303600,449411,7593752,12,2363950158.0
446,110304500,446126,7598138,14,2620897251.0
447,110304800,450751,7600511,8,1381401648.0
448,110304900,449313,7601951,9,1832158764.0
449,110305000,449594,7602155,13,1842033225.5
450,110305400,451152,7602319,11,2515210175.5
451,110305500,453788,7605256,8,1381401648.0
452,110305600,453439,7605325,8,1381401648.0
453,110305700,450471,7601844,12,2363950158.0
454,110305800,454593,7606107,10,1868680390.0
455,110305900,455142,7607017,13,1842033225.5
456,110306000,456196,7605797,13,1842033225.5
457,110306100,453708,7605424,11,2515210175.5
458,110306200,455588,7607242,9,1832158764.0
459,110306300,456803,7606878,8,1381401648.0
460,110307700,464218,7609303,9,1832158764.0
461,110307800,464392,7612888,8,1381401648.0
462,110400200,456776,7600761,12,2363950158.0
463,110401000,447708,7595659,9,1832158764.0
464,110401100,448172,7595501,13,1842033225.5
465,110402500,448896,7597074,8,1381401648.0
466,110402600,448811,7597315,11,2515210175.5
467,110402700,448416,7597899,11,2515210175.5
468,110402800,448485,7597791,10,1868680390.0
469,110402900,448525,7597501,11,2515210175.5
470,110403000,451627,7597471,12,2363950158.0
471,110403100,450945,7599913,13,1842033225.5
472,110403400,448580,7597948,8,1381401648.0
473,110403500,448601,7598216,13,1842033225.5
474,110403700,448093,7599312,14,2620897251.0
475,110403800,447705,7596731,14,2620897251.0
476,110403900,448246,7598979,12,2363950158.0
477,110404000,448187,7596371,13,1842033225.5
478,110404100,446614,7595774,10,1868680390.0
479,110405100,453092,7598238,10,1868680390.0
480,110408100,448344,7598453,10,1868680390.0
481,110408200,448113,7598415,12,2363950158.0
482,110408300,448012,7596419,9,1832158764.0
483,110408600,446662,7597821,10,1868680390.0
484,110409100,447827,7596638,13,1842033225.5
485,110409300,451214,7599602,14,2620897251.0
486,110410000,445909,7597255,12,2363950158.0
487,110411000,454343,7597053,12,2363950158.0
488,110411100,447061,7595758,12,2363950158.0
489,110411300,450674,7600163,14,2620897251.0
490,110411500,450757,7600232,13,1842033225.5
491,110411600,454495,7601488,14,2620897251.0
492,110413200,452718,7596999,12,2363950158.0
493,110413600,452749,7596487,10,1868680390.0
494,110415300,456768,7600217,14,2620897251.0
