,WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h,V
301,110070900,457447,7609514,456563,7608695,10,1868680390.0
302,110071000,458346,7610038,457504,7609232,14,2620897251.0
303,110071100,457388,7609305,456607,7608503,12,2363950158.0
304,110071200,455950,7607620,456577,7608261,13,1842033225.5
305,110071800,451244,7602900,451993,7603613,12,2363950158.0
306,110071900,450567,7602021,451303,7602703,9,1832158764.0
307,110072208,446763,7599411,445759,7598597,12,2363950158.0
308,110072400,446755,7598984,446040,7598264,13,1842033225.5
309,110073600,458434,7609682,457575,7608794,9,1832158764.0
310,110073700,458278,7609870,458956,7610542,11,2515210175.5
311,110073800,458039,7610229,457542,7609397,9,1832158764.0
312,110073900,458191,7610070,458882,7610752,9,1832158764.0
313,110074000,455834,7607733,456543,7608435,12,2363950158.0
314,110074600,450954,7603235,451821,7604060,10,1868680390.0
315,110074700,450411,7602179,450948,7602757,13,1842033225.5
316,110075100,446625,7599063,446011,7598395,9,1832158764.0
317,110075200,446959,7598760,446089,7597883,14,2620897251.0
318,110076500,458983,7611324,459674,7612068,12,2363950158.0
319,110076600,458029,7610112,458838,7610946,12,2363950158.0
320,110076700,457948,7610411,457399,7609652,11,2515210175.5
321,110076800,457310,7609020,456645,7608316,8,1381401648.0
322,110076900,455861,7607966,456505,7608612,12,2363950158.0
323,110077500,450250,7602614,449807,7602145,9,1832158764.0
324,110077600,450311,7602359,451006,7603016,11,2515210175.5
325,110110200,461702,7602721,463618,7603520,10,1868680390.0
326,110111000,454039,7596769,454854,7596219,8,1381401648.0
327,110113200,451901,7596155,452568,7596877,11,2515210175.5
328,110113400,453114,7596482,451885,7595386,11,2515210175.5
329,110113600,452777,7596633,451862,7595720,11,2515210175.5
330,110115700,462052,7602478,463025,7603079,14,2620897251.0
331,110116300,455596,7598616,456363,7598102,9,1832158764.0
332,110118700,451321,7595046,450596,7594412,9,1832158764.0
333,110125100,452050,7597207,451492,7596616,13,1842033225.5
334,110127200,454461,7599787,453131,7598444,8,1381401648.0
335,110127900,449897,7594896,449054,7594108,14,2620897251.0
336,110128800,449210,7593129,448503,7592442,13,1842033225.5
337,110129800,455858,7601476,456612,7602131,13,1842033225.5
338,110129900,456094,7601506,455262,7600844,9,1832158764.0
339,110130100,455175,7600360,456231,7601475,11,2515210175.5
340,110130700,449704,7595134,448849,7594319,10,1868680390.0
341,110132600,455527,7601518,454962,7600957,9,1832158764.0
342,110132800,454771,7600641,455524,7601354,14,2620897251.0
343,110133300,450150,7596109,449470,7595431,9,1832158764.0
344,110133400,449401,7595273,448600,7594531,9,1832158764.0
345,110133500,448510,7594306,447633,7593418,13,1842033225.5
346,110135300,455537,7601836,456276,7602659,8,1381401648.0
347,110135400,455353,7601716,454636,7601097,13,1842033225.5
348,110135500,454609,7600971,454141,7600516,8,1381401648.0
349,110136100,449903,7596274,449194,7595563,14,2620897251.0
350,110136200,449146,7595453,448401,7594760,8,1381401648.0
351,110136300,448268,7594766,447506,7594050,12,2363950158.0
352,110138000,456078,7602794,456899,7603671,12,2363950158.0
353,110138100,455375,7602113,455863,7602850,13,1842033225.5
354,110138200,455221,7602029,454436,7601306,12,2363950158.0
355,110138300,454385,7601168,453827,7600644,10,1868680390.0
356,110138900,449742,7596554,449057,7595874,13,1842033225.5
357,110139100,448123,7595076,447314,7594352,14,2620897251.0
358,110141000,455664,7602793,456482,7603804,13,1842033225.5
359,110141200,455015,7602320,454205,7601582,9,1832158764.0
360,110142100,447099,7594641,447693,7595224,9,1832158764.0
361,110143800,456334,7604005,456915,7604546,9,1832158764.0
362,110143900,456218,7604000,455625,7603332,14,2620897251.0
363,110144000,454945,7602620,455658,7602973,10,1868680390.0
364,110144100,454085,7601862,454689,7602458,10,1868680390.0
365,110144200,453576,7601220,452817,7600455,14,2620897251.0
366,110144600,450027,7597676,450524,7598245,11,2515210175.5
367,110144700,449420,7597020,449678,7597292,11,2515210175.5
368,110144800,448632,7596128,449685,7596840,11,2515210175.5
369,110144900,447788,7595402,448380,7596017,8,1381401648.0
370,110145000,446413,7595678,446093,7596724,11,2515210175.5
371,110147000,455851,7604016,455372,7603492,14,2620897251.0
372,110147100,454806,7602915,455316,7603408,12,2363950158.0
373,110147200,453953,7602153,454532,7602722,9,1832158764.0
374,110147300,453223,7601284,452481,7600533,10,1868680390.0
375,110147700,450008,7598085,450689,7598782,11,2515210175.5
376,110147800,449202,7597250,449635,7597751,11,2515210175.5
377,110147900,448431,7596376,449144,7597067,14,2620897251.0
378,110148000,447552,7595618,448319,7596393,11,2515210175.5
379,110148100,446891,7594849,447550,7595516,8,1381401648.0
380,110150300,453196,7601687,452558,7601028,8,1381401648.0
381,110150500,452068,7600573,452842,7601205,9,1832158764.0
382,110150700,449649,7598140,450479,7598985,11,2515210175.5
383,110150800,448985,7597444,449612,7598197,12,2363950158.0
384,110150900,448117,7596494,448873,7597221,8,1381401648.0
385,110151000,447347,7595846,448058,7596549,12,2363950158.0
386,110151100,446797,7595188,447323,7595714,11,2515210175.5
387,110153500,451862,7600786,452697,7601558,8,1381401648.0
388,110153800,449577,7598501,450295,7599304,13,1842033225.5
389,110153900,448774,7597723,449437,7598455,9,1832158764.0
390,110154000,447990,7596797,448638,7597447,10,1868680390.0
391,110154100,447095,7596015,447712,7596628,10,1868680390.0
392,110154200,446510,7595850,446240,7596810,12,2363950158.0
393,110156500,451696,7601051,452352,7601701,14,2620897251.0
394,110156700,450002,7599374,450523,7600002,13,1842033225.5
395,110157000,448385,7597752,447621,7596980,11,2515210175.5
