WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h
110402900,447981,7596925,448525,7597501,11
110403000,450775,7598338,451627,7597471,12
110403100,450301,7599271,450945,7599913,13
110403400,449343,7598788,448580,7597948,8
110403500,449134,7598770,448601,7598216,13
110403700,448637,7599763,448093,7599312,14
110403800,447106,7596140,447705,7596731,14
110403900,448759,7599441,448246,7598979,12
110404000,447540,7595685,448187,7596371,13
110404100,447494,7596749,446614,7595774,10
110405100,454098,7598313,453092,7598238,10
110408100,448942,7599045,448344,7598453,10
110408200,448877,7599179,448113,7598415,12
110408300,447389,7595773,448012,7596419,9
110408600,446152,7597252,446662,7597821,10
110409100,447192,7596009,447827,7596638,13
110409300,450718,7598927,451214,7599602,14
110410000,446564,7597938,445909,7597255,12
110411000,453520,7596471,454343,7597053,12
110411100,446411,7595116,447061,7595758,12
110411300,451543,7600122,450674,7600163,14
110411500,451610,7600183,450757,7600232,13
110411600,455203,7602115,454495,7601488,14
110413200,451958,7596087,452718,7596999,12
110413600,452083,7595808,452749,7596487,10
110415300,455900,7599505,456768,7600217,14
110416200,456103,7599671,456796,7600215,10
110416400,454595,7597890,455327,7598671,9
110416600,453194,7596708,453998,7597451,11
110418200,455603,7598887,456614,7599643,14
110418300,454579,7598218,455541,7598958,12
110418500,452854,7596801,453626,7597451,11
110420000,447414,7597062,446532,7596181,14
110420100,446465,7596967,447101,7597624,10
110420200,456036,7599834,456691,7600525,10
110420300,455229,7599150,455961,7599878,9
110420400,454229,7598482,454958,7599163,10
110421200,450571,7599167,451270,7599875,14
110421300,450603,7598094,451442,7597237,12
110421400,456425,7602258,456824,7602631,14
110422300,454564,7599456,453790,7598770,9
110422400,455181,7599463,455873,7600148,14
110422500,454652,7599152,453884,7598392,9
110422700,452451,7597062,453296,7597855,14
110422800,451627,7596292,452405,7597168,8
110424700,455550,7600333,456675,7601235,11
110425000,452922,7598062,451926,7597305,8
110425100,451615,7596618,452314,7597343,14
110425200,451402,7596462,452115,7597136,8
110427600,453167,7598033,452387,7597212,10
110427700,451944,7597585,451154,7596751,14
110427800,451012,7597027,450351,7596324,8
110428100,448816,7594042,449737,7592985,8
110430500,450962,7596624,450362,7595770,8
110432700,454536,7600812,455336,7601422,14
110433100,451514,7598500,450826,7599147,9
110433200,450671,7597090,449936,7596421,9
110435400,454897,7600465,455891,7601396,12
110438400,453985,7600763,453142,7600900,8
110438500,454985,7600269,456117,7601091,12
110439100,455650,7599763,456760,7601132,9
110441200,455005,7602171,454261,7601525,9
110441300,453388,7601130,453861,7601591,8
110442200,447808,7595323,448412,7595947,12
110443500,448474,7594546,447472,7593409,12
110444200,451795,7600813,452644,7601595,9
110444600,450104,7598091,450819,7598832,12
110444800,448630,7596192,449658,7597086,8
110445000,446308,7596279,446469,7595738,11
110445200,451621,7596383,452073,7596900,13
110447300,453122,7601234,453734,7601868,8
110447700,449869,7598208,450469,7598883,10
110448100,446683,7594970,447259,7595538,12
110450400,451771,7600830,452811,7601766,13
110450700,449617,7598437,450447,7599219,8
110450900,447878,7596890,448414,7597475,12
110451100,446593,7595090,447197,7595706,12
110451200,447262,7595880,447993,7596594,9
110453500,451632,7601085,452417,7601874,14
110453800,449625,7598229,450441,7599043,12
110454200,446442,7595362,446929,7595843,13
110456700,450050,7599293,450649,7599974,8
110456800,449356,7598605,449920,7599265,10
110457100,447290,7596741,446569,7596013,8
110460100,448172,7598057,448909,7598726,8
110460200,447946,7598148,447345,7597518,10
110460300,446529,7596620,447185,7597281,11
110462800,451058,7601407,450401,7600795,11
110463200,447690,7598509,447005,7597818,12
110463300,446513,7596804,447127,7597432,14
110463500,451771,7601019,452546,7601806,13
110463900,455405,7601664,454862,7601196,12
110464400,450380,7597952,449839,7597443,10
110465900,450845,7601410,450279,7600870,9
110466300,447586,7598624,446876,7597908,12
